市町村名,ゴミ名称,カテゴリー(台所ごみ / 電気製品など),分別 (燃えるごみ / 燃えないごみなど),備考 (ゴミごとに固有のもののみ)
大和郡山市,天ぷらガード,キッチン,燃えないゴミ,
大和郡山市,電話機,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,DVD,小型電気製品,燃えるゴミ,多量なら直接持ち込み
大和郡山市,DVDプレイヤー,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,砥石,DIY・工具・ガーデン,燃えないゴミ,
大和郡山市,トースター,大型電気製品,粗大ゴミ,
大和郡山市,灯油,ホーム,収集不可,販売店に相談
大和郡山市,灯油ポリタンク,ホーム,粗大ゴミ,
大和郡山市,時計,ホーム,粗大ゴミ,
大和郡山市,トタン,DIY・工具・ガーデン,持ち込みのみ可,自分で交換したもののみ　一人5枚まで
大和郡山市,鳥かご,ペット用品,粗大ゴミ,
大和郡山市,塗料缶,DIY・工具・ガーデン,燃えないゴミ,中身を空にする
大和郡山市,ドレッサー,ホーム,粗大ゴミ,
大和郡山市,トロフィー,ホーム,粗大ゴミ,
大和郡山市,ナイフ,ホーム,燃えないゴミ,紙に包む
大和郡山市,ナイロンタオル,ホーム,燃えるゴミ,
大和郡山市,長靴,ホーム,燃えるゴミ,
大和郡山市,流し台,キッチン,粗大ゴミ,自分で交換したものに限る
大和郡山市,鍋,キッチン,燃えないゴミ,
大和郡山市,波板,DIY・工具・ガーデン,持ち込みのみ可,1m以内の大きさで自分で交換したもの
大和郡山市,縄跳び,スポーツ・アウトドア,燃えるゴミ,
大和郡山市,南京錠,文房具・オフィス用品,燃えないゴミ,
大和郡山市,人形,おもちゃ,燃えないゴミ,
大和郡山市,人形ケース,おもちゃ,粗大ゴミ,
大和郡山市,ぬいぐるみ,おもちゃ,燃えるゴミ,大型は粗大ゴミ
大和郡山市,ネクタイ,ファッション＆アクセサリー,燃えるゴミ,
大和郡山市,猫犬トイレ(紙、プラスチック),ペット用品,燃えるゴミ,
大和郡山市,猫犬トイレ(砂) ,ペット用品,収集不可,販売店に相談
